variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,mean,mean,66686.88,101919.3,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_mean_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,mean,min,66560.53,101858.28,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_mean_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,mean,max,66904.19,102368.27,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_mean_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,min,mean,62528.66,99671.08,0.16,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,min,min,62457.32,99642.58,0.14,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_min_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,min,max,62589.71,99797.25,0.14,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,min,mean,62572.39,99535.7,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_min_mean.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,min,min,62457.32,99424.12,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_min_min.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,1.0,min,max,62757.32,99797.25,0.06,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s2_A_1736958866739_min_max.nc
surface_pressure,90,50,0,-80,2010-01-01T00:00,2014-12-31T23:00,year,0.5,max,mean,69157.09,106466.06,0.15,/data/iharp-customized-storage/storage/surface_pressure/surface_pressure_t3_s1_A_1736958866739_max_mean.nc
