variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,temporal_aggregation,spatial_aggregation,min,max,file_size,file_path
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,mean,max,271.48,287.31,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_mean_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.5,mean,min,270.15,294.51,0.76,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736979894617_mean_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,min,mean,268.97,284.98,0.08,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_min_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.25,min,none,268.97,285.08,0.2,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s0_Y_1736979894617_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.5,max,max,271.43,300.32,0.66,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736979894617_max_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,max,max,271.46,300.32,0.08,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_max_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.5,min,min,268.97,293.38,0.64,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s1_Y_1736979894617_min_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,0.5,mean,mean,271.4,287.27,0.09,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s1_Y_1736979894617_mean_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.25,min,none,268.97,293.51,2.16,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736979894617_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,min,max,269.33,285.05,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_min_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.5,min,min,268.97,296.83,23.18,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736979894617_min_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.5,min,mean,268.97,296.94,25.78,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736979894617_min_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,0.25,max,none,271.43,300.32,2.28,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s0_Y_1736979894617_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,max,min,271.43,297.6,0.21,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_max_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.5,min,max,268.98,297.17,23.37,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736979894617_min_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.5,max,mean,269.02,297.68,25.88,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736979894617_max_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.25,max,none,269.02,300.32,59.34,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s0_Y_1736979894617_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,max,mean,271.46,297.68,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_max_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,1.0,mean,mean,269.29,297.11,5.97,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s2_Y_1736979894617_mean_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,day,0.5,max,min,269.02,297.6,23.42,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t1_s1_Y_1736979894617_max_min.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,year,1.0,mean,mean,271.45,287.2,0.04,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t3_s2_Y_1736979894617_mean_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,min,max,269.33,293.51,0.2,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_min_max.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,min,mean,269.09,293.08,0.22,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_min_mean.nc
sea_surface_temperature,90,50,10,-70,2020-01-01T00:00,2023-12-31T23:00,month,1.0,max,max,271.46,300.32,0.21,/data/iharp-customized-storage/storage/sea_surface_temperature_N/sea_surface_temperature_t2_s2_Y_1736979894617_max_max.nc
